"iso_code";"country";"region";"income_status";"education_expenditure";"youth_unemployment_rate";"net_migration_rate"
"BHR";"Bahrain";"Asia";"High-income countries";2,3;5,3;10,6
"GIN";"Guinea";"Africa";"Lower-middle-income countries";2,3;1;0
"KHM";"Cambodia";"Asia";"Lower-middle-income countries";2,2;1,1;-0,3
"GNB";"Guinea-Bissau";"Africa";"Low-income countries";2,1;.;-3,8
"LKA";"Sri Lanka";"Asia";"Lower-middle-income countries";2,1;21;-1,3
"UGA";"Uganda";"Africa";"Low-income countries";2,1;14,8;-3,5
"MMR";"Burma";"Asia";"Lower-middle-income countries";1,9;2;-1,4
"MRT";"Mauritania";"Africa";"Lower-middle-income countries";1,9;15,2;-0,8
"PNG";"Papua New Guinea";"Oceania";"Lower-middle-income countries";1,9;3,6;0
"BMU";"Bermuda";"North America";"High-income countries";1,5;29,3;1,6
"COD";"Congo, Democratic Republic of the";"Africa";"Low-income countries";1,5;8,7;-0,9
"MCO";"Monaco";"Europe";"High-income countries";1,5;26,6;8,3
"SSD";"South Sudan";"Africa";"Low-income countries";1,5;38,6;0,2
"BGD";"Bangladesh";"Asia";"Lower-middle-income countries";1,3;12,8;-3
"CAF";"Central African Republic";"Africa";"Low-income countries";1,2;.;0
"PYF";"French Polynesia";"Oceania";"High-income countries";.;56,7;-0,7
"XKS";"Kosovo";.;.;.;55,4;-1,8
"LBY";"Libya";"Africa";"Upper-middle-income countries";.;48,7;-0,7
"MKD";"North Macedonia";"Europe";"Upper-middle-income countries";.;45,4;0,4
"GRC";"Greece";"Europe";"High-income countries";.;39,9;0,9
"DZA";"Algeria";"Africa";"Upper-middle-income countries";.;39,3;-0,9
"NCL";"New Caledonia";"Oceania";"High-income countries";.;38,4;3,8
"BWA";"Botswana";"Africa";"Upper-middle-income countries";.;36;2,9
"SYR";"Syria";"Asia";"Low-income countries";.;35,8;27,1
"BIH";"Bosnia and Herzegovina";"Europe";"Upper-middle-income countries";.;33,8;-0,4
"EGY";"Egypt";"Africa";"Lower-middle-income countries";.;29,6;-0,3
"GUM";"Guam";"Oceania";"High-income countries";.;29,4;-11
"MNE";"Montenegro";"Europe";"Upper-middle-income countries";.;29,4;-4,9
"SAU";"Saudi Arabia";"Asia";"High-income countries";.;28,8;4,7
"NRU";"Nauru";"Oceania";"High-income countries";.;26,6;-11,3
"BHS";"Bahamas, The";"North America";"High-income countries";.;25,8;0
"IRQ";"Iraq";"Asia";"Upper-middle-income countries";.;25,6;-0,5
"YEM";"Yemen";"Asia";"Low-income countries";.;24,5;-0,2
"MAR";"Morocco";"Africa";"Lower-middle-income countries";.;22,2;-1,9
"TUV";"Tuvalu";"Oceania";"Upper-middle-income countries";.;20,6;-6,5
"KIR";"Kiribati";"Oceania";"Lower-middle-income countries";.;17,1;-2,8
"KWT";"Kuwait";"Asia";"High-income countries";.;15,4;-3,3
"VEN";"Venezuela";"South America";.;.;14,6;-3,4
"CYM";"Cayman Islands";"North America";"High-income countries";.;13,8;13
"NGA";"Nigeria";"Africa";"Lower-middle-income countries";.;13,8;-0,2
"DOM";"Dominican Republic";"North America";"Upper-middle-income countries";.;13,5;-2,7
"SUR";"Suriname";"South America";"Upper-middle-income countries";.;13,4;0,5
"MHL";"Marshall Islands";"Oceania";"Upper-middle-income countries";.;11;-4,5
"IMN";"Isle of Man";"Europe";"High-income countries";.;10,1;5,2
"TTO";"Trinidad and Tobago";"North America";"High-income countries";.;8,7;-5,4
"ARE";"United Arab Emirates";"Asia";"High-income countries";.;6,9;7,6
"PHL";"Philippines";"Asia";"Lower-middle-income countries";.;6,7;-1,8
"PLW";"Palau";"Oceania";"High-income countries";.;5,6;0,9
"AIA";"Anguilla";"North America";.;.;.;11,1
"SXM";"Sint Maarten";"North America";"High-income countries";.;.;6
"JEY";"Jersey";"Europe";.;.;.;2,3
"ATG";"Antigua and Barbuda";"North America";"High-income countries";.;.;2,1
"GGY";"Guernsey";"Europe";.;.;.;1,9
"TWN";"Taiwan";"Asia";"High-income countries";.;.;0,8
"GNQ";"Equatorial Guinea";"Africa";"Upper-middle-income countries";.;.;0
"FRO";"Faroe Islands";"Europe";"High-income countries";.;.;0
"PRK";"Korea, North";"Asia";"Low-income countries";.;.;0
"SHN";"Saint Helena, Ascension, and Tristan da Cunha";"Africa";.;.;.;0
"CHN";"China";"Asia";"Upper-middle-income countries";.;.;-0,4
"SDN";"Sudan";"Africa";"Low-income countries";.;.;-0,4
"BLM";"Saint Barthelemy";"North America";.;.;.;-3
"GIB";"Gibraltar";"Europe";"High-income countries";.;.;-3,3
"SOM";"Somalia";"Africa";"Low-income countries";.;.;-3,8
"WLF";"Wallis and Futuna";"Oceania";.;.;.;-4,3
"GRL";"Greenland";"North America";"High-income countries";.;.;-6
"MAF";"Saint Martin";"North America";"High-income countries";.;.;-6
"VIR";"Virgin Islands";"North America";"High-income countries";.;.;-7,5
"SPM";"Saint Pierre and Miquelon";"North America";.;.;.;-7,7
"ERI";"Eritrea";"Africa";"Low-income countries";.;.;-11,6
"MNP";"Northern Mariana Islands";"Oceania";"High-income countries";.;.;-15,4
"TON";"Tonga";"Oceania";"Upper-middle-income countries";.;.;-17,9
"ASM";"American Samoa";"Oceania";"High-income countries";.;.;-26,1
